Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
269,,Bombarde,Reed Instruments,Bombarde of ebony with ivory ferrules and one brass key. Also with silver ferrules and bell ring. A type of shawm used with the bagpipe Biniou.,,Ebony Wood PlantIvory Tooth AnimalBrass MetalSilver Metal,Max L = 315 mm   Max Diam [bell] =  78 mm,,"France, Brittany",anon,?18th century,Display Case 10,none recorded,,,,"1-key bombarde, anon, Brittany. Possibly 18th century. The bombarde is used with the bagpipe, Binou. 269 [display label]",,,Collections Image 12-02-2013,,possibly (needs reed),"Fair condition. Bell cracked, dusty.",Elin Bornemann [11/02/2013]
x284,,CiaramellaShawm,Reed Instruments,"Ciaramella, a type of shawm, used with the bagpipe, Zampogna, of wood, all in one piece. No reed.",,Wood Plant,Max L = 315 mm   Max Diam [bell] =  55 mm,,Italy,anon,,Display Case 10,Anthony Baines,04/03/2002,,10 [written inside bell]  ACB 10 [sticker inside bell],"Ciaramella, anon, Italy. Used with the bagpipe Zampogna. Anthony Baines Loan. x284 [display label]",,,Collections Image 12-02-2013,,possibly (needs reed),Fair condition. Bell chipped.,Elin Bornemann [11/02/2013]
58,,TarogatoSaxophone,Reed Instruments,"Tarogato, a kind of soprano saxophone from Hungary. Made of cocus wood with nickel alloy keys, simple system, nickel alloy ferrules and bell ring. With ebony mouthpiece with reed fixed with metal clamp.",,Cocus Wood PlantNickel Alloy MetalEbony Wood Plant,Max L = 680 mm   Max Diam [bell] =  82 mm,,"Hungary, Budapest",Mogyorossy Gyula [?],c.1900,Display Case 10,purchased for the collection,,purchased from Tony Bingham,MOGYOROSSY GYULA NANOSZERGYAR BUDAPEST [rest illegible],"Simple system cocus Tarogato in Bb, Mogyorossy, Budapest, c. 1900. The modern Tarogato was invented by V.J. Schunda as a substitute for the Turkish pattern shawm which had been banned by the government as too inflammatory. Purchased. 58 [display label]",,,Collections Image 12-02-2013,,yes,"Good condition, but metal tarnished.",Elin Bornemann [11/02/2013]
270,,Bombarde,Reed Instruments,Bombarde of maple wood painted black with six nickel alloy keys. With one-piece body and separate bell.,,Maple Wood PlantNickel Alloy Metal,Max L = 330 mm   Max Diam [bell] =  73 mm,,"France, Brittany",anon,,Display Case 10,Philip Bate,,,,"6 key maple bombarde, anon, Brittany. The bombarde is used with the bagpipe, Biniou. 270 [display label]",,,Collections Image 12-02-2013,,possibly (needs reed),"Fair condition. Bell chipped, dusty.",Elin Bornemann [11/02/2013]
299,,Bombarde,Reed Instruments,Bombarde of wood (cocus?) with one nickel alloy keys and white plastic ferrules and bell ring. ,,Wood PlantNickel Alloy MetalPlastic Synthetic,Max L = 307 mm   Max Diam [bell] =  82 mm,,"France, Rennes",Forig,,Display Case 10,Edgar Hunt,,,forig,"1 key bombarde, Forig, Rennes. Used with the modern Grand Biniou (Scottish type). Edgar Hunt Accession. 299 [display label]",,,Collections Image 12-02-2013,,possibly (needs reed),Good condition. Dusty.,Elin Bornemann [11/02/2013]
10124,,Tuner,Equipment,"Electronic tuner, 'Strobotuner'. ",,MetalPlastic Synthetic,Max H = 185 mm   Max W=  260 mm,,"U.S.A, Indiana, Elkhart",C.G. Conn,20th century,Display Case 10,David Law,,,"Strobotuner CONN C.G. CONN LTD. ELKHART, INDIANA. U.S. PATENT NO. 2,806,953","C G Conn electronic tuner, Strobotuner. The slower the strobe wheel revolves, the more nearly one is in tune to equal temperament. Given by David Law. [display label]",,,Collections Image 12-02-2013,,,Good condition. ,Elin Bornemann [11/02/2013]
10125,,Tuner,Equipment,"Electronic tuner, 'Accutone', with instruction booklet and punched cards to produce a variety of temperaments.",,MetalPlastic SyntheticCardboard,Max H = 160 mm   Max W=  190 mm,,"U.S.A, Texas, Austin",Widener,20th century,Display Case 10,Philip Bate,entered in records 12/02/2013,,ACCUTONE TUNER WIDENER ENGINEERING AUSTIN TEXAS 78746,"Electronic tuner, Accutone by Widener, Austin, Texas, which uses punched cards to produce a variety of temperaments. Lent by Philip Bate. [display label]",,,Collections Image 12-02-2013,,,Good condition. Dusty.,Elin Bornemann [12/02/2013]
x838,,Tuning ForkPitch Pipe,Equipment,A wooden box of tuning forks and pitch pipes.,,MetalWood Plant,Max L [box] = 190 mm   Max W [box] = 257 mm,,various,various,,Display Case 10,Philip Bate,,,,"Miscellaneous TUNING FORKS and other tuning devices, of various dates and pitches, some with built-in gauges for measuring string sizes. Lent by Philip Bate. x 838 a-r. [display label]",,,Collections Image 12-02-2013,,,Good condition. Dusty.,Elin Bornemann [12/02/2013]
2008,,Rgya-glingShawm,Reed Instruments,"Rgya-gling, a double-reed shawm, with wooden body and brass and copper bell. The body is bound with brass bands set with blue and red stones (glass?). The top where the reed is attached is also brass.",,Brass MetalCopper MetalWood PlantGlass?,Max L = 620 mm   Max Diam [bell] = 143 mm,,"Tibet, Ghoom",anon,c.1934,Display Case 10,Colonel S. Montagu Cleeve,,,,"Pair of Tibetan rgyar-gling, Guru Gompa Monastery, Ghoom, near Darjeeling, c. 1934. One is lacking a spacing sphere and pirouette. dd S. Montagu Cleeve. 2008 & 2009 [display label]",,,Collections Image 12-02-2013,,no,"Fair condition, some of the glass stones appear to be decaying.",Elin Bornemann [12/02/2013]
2009,,Rgya-glingShawm,Reed Instruments,"Rgya-gling, a double-reed shawm, with wooden body and brass and copper bell. The body is bound with brass bands set with blue, red and white stones (glass?). The top where the reed is attached is also brass.","Rgya-gling, a double-reed shawm, with wooden body and brass and copper bell. The body is bound with brass bands set with blue, red and white stones (glass?). The top where the reed is attached is also brass. A brass disc is attached on a chain.",Brass MetalCopper MetalWood PlantGlass?,Max L = 600 mm   Max Diam [bell] = 145 mm,,"Tibet, Ghoom",anon,c.1934,Display Case 10,Colonel S. Montagu Cleeve,,,,"Pair of Tibetan rgyar-gling, Guru Gompa Monastery, Ghoom, near Darjeeling, c. 1934. One is lacking a spacing sphere and pirouette. dd S. Montagu Cleeve. 2008 & 2009 [display label]",,,Collections Image 12-02-2013,,no,"Fair condition, some of the glass stones appear to be decaying.",Elin Bornemann [12/02/2013]
10126,,Rgya-gling PartShawm Part,Reed Instruments,"Matchbox containing spare reeds for Rgya-gling, a double-reed shawm.",,Reed PlantYarn,Max L [one reed] = 24 mm   ,,"Tibet, Ghoom",anon,,Display Case 10,Colonel S. Montagu Cleeve,,,,Spare reeds of 'mud-grass' for the rGyar-gling. dd S. Montagu Cleeve. [display label],,,Collections Image 12-02-2013,,no,Good condition.,Elin Bornemann [12/02/2013]
x26,,XirimiaOboeShawm,Reed Instruments,"Tenor Xirimia, a type of oboe or shawm, of wood (Ziziphus jujuba, a shrub of the buckthorn family), with metal-plated bell and with silver keys.",,Wood PlantSilver MetalMetal,Max L = 870 mm   Max Diam [bell] =  125 mm,,"Spain, Catalonia, Gerona",Juan Fabra Vicents,,Display Case 10,Anthony Baines,04/03/2002,,,"Tenora de Xirimia, Fabra, Gerona. Simple system tenor shawm used in the Catalan Sardana bands (coblas). Anthony Baines Bequest. x26 [display label]",,,Collections Image 12-02-2013,,possibly (needs reed),"Fair condition. Metal tarnished, dusty.",Elin Bornemann [12/02/2013]
x285,,GhaytaOboe,Reed Instruments,"Ghayta, type of oboe played in Northern Africa, made of wood in one piece, with reed and plastic disc attached at the top.",,Wood PlantPlastic Synthetic,Max L = 410 mm   Max Diam [bell] =  75 mm,,Morocco,anon,,Display Case 10,Anthony Baines,04/03/2002,,ACB [sticker inside bell],"Ghayta, Morocco. Pirouette of polythene. Anthony Baines Bequest. x285 [display label]",,,Collections Image 12-02-2013,,no,"Fair condition. Reed broken, Bell was broken and has been repaired. Dusty.",Elin Bornemann [12/02/2013]
x287,,SuonaHaidiOboe,Reed Instruments,"Haidi, small form of Suona, a Chinese oboe, of wood with brass ferrules, with chromium plated bell and chromium plated top part, consisting of several discs and balls and holding the reed.",,Wood PlantChromium MetalBrass Metal,Max L = 341 mm   Max Diam [bell] =  105 mm,,"China, Hong Kong",anon,,Display Case 10,Anthony Baines,04/03/2002,,ACB [sticker inside bell],"Haidi (a small Suona), Hong-kong, Southern Chinese type. Anthony Baines Bequest. x287 [display label]",,,Collections Image 12-02-2013,,yes,Good condition.,Elin Bornemann [12/02/2013]
x290,,HoranavaOboe,Reed Instruments,"Horanava, a Sri Lankan oboe, of wood painted with red, yellow and black patterns, with metal bell and metal top where the reed is attached.",,Wood PlantMetal,Max L = 320 mm   Max Diam [bell] =  77 mm,,Sri Lanka,anon,,Display Case 10,Anthony Baines,04/03/2002,,ACB 46 [sticker inside bell],"Horanava, Ceylon. Painted wooden body with metal bell. With mandrel to prepare spare reeds. Anthony Baines Bequest. x290 [display label]",,,Collections Image 12-02-2013,,possibly,Good condition.,Elin Bornemann [12/02/2013]
291,,Shawm,Reed Instruments,"Treble shawm, reproduction of a renaissance shawm, of wood with one brass key, brass ferrules and scalloped brass edge on the bell.",,Wood PlantBrass Metal,Max L = 578 mm   Max Diam [bell] =  90 mm,,"Germany, Berlin",Otto Steinkopf,c.1950,Display Case 10,Edgar Hunt,February 1983,,O. STEINKOPF,"Treble shawm, reproduction of late renaissance Schalmei. Otto Steinkopf, Berlin, c 1950. Edgar Hunt Accession. 291 [display label]",,,Collections Image 12-02-2013,,possibly (needs reed),"Good condition, but wood scratched.",Elin Bornemann [12/02/2013]
x289,,SahnaiOboe,Reed Instruments,"Sahnai, oboe of North India, of wood painted black, in one piece widening into a  bell. With wooden pirouette at the top and a string from which spare reeds are hanging.",,Wood Plant,Max L = 405 mm   Max Diam [bell] =  74 mm,,"India, Kolkata",Ever Ready,,Display Case 10,Anthony Baines,04/03/2002,,"EVER READY [shield with lion]
ACB 18 [sticker inside bell]","Surna, Calcutta, India. Marked EVER READY. Black painted wood. With a number of spare reeds. Anthony Baines Bequest. x289 [display label]",,,Collections Image 15-02-2013,,yes,"Good condition, dusty.",Elin Bornemann [13/02/2013]
x286,,ZurnaOboe,Reed Instruments,"Zurna, a type of oboe, of wood in one piece, with flaring bell. With reed, but pirouette missing.",,Wood Plant,Max L = 550 mm   Max Diam [bell] =  95 mm,,"Turkey, Istanbul",anon,,Display Case 10,Anthony Baines,04/03/2002,,ACB [sticker inside bell],"Kaba zurna (large zurna), Istanbul, Turkey. Pirouette missing. Anthony Baines Bequest. x246 [display label]",,,Collections Image 15-02-2013,,yes,Good condition.,Elin Bornemann [13/02/2013]
280,,Shawm,Reed Instruments,"Alto shawm, replica of early renaissance type, of wood with brass ferrules, brass key and plastic reed.",,Wood PlantBrass MetalPlastic Synthetic,Max L = 900 mm   Max Diam [bell] =  125 mm,,"Germany, Essen",John Hanchet,c.1976,Display Case 10,Anthony Baines,04/03/2002,,,"Alto shawm, reproduction of early renaissance type. John Hanchet, now of Essen, c. 1976. Purchased. 280. [display label]",,,Collections Image 15-02-2013,,yes,"Good condition, but metal tarnished.",Elin Bornemann [13/02/2013]
281,,Shawm,Reed Instruments,"Bass shawm, replica of early renaissance type, of maple wood with brass ferrules, brass keys and brass crook, and scalloped brass ring round the bell.",,Wood PlantBrass Metal,Max L = 1200 mm   Max Diam [bell] =  170 mm,,"Germany, Essen",John Hanchet,1970s,Display Case 10,acquired for the collection by exchange,19/01/1975,,,"Bass shawm, reproduction of early renaissance type. John Hanchet, now of Essen, c. 1976. Purchased. 281. [display label]",,,Collections Image 15-02-2013,,yes,"Good condition, but metal tarnished.",Elin Bornemann [13/02/2013]
x4064,,Launeddas,Reed Instruments,"Launeddas, triple pipe or clarinet, with two chanters of reed with four fingerholes each, and one drone of reed, which is longer than the chanters. The longer of the chanters is bound to the drone with string.",,Reed PlantWaxString,Max L = 505 mm   Max W = 47 mm,,Sardinia,anon,,Display Case 2,Anthony Baines,04/03/2002,,25 [written on drone],"Launeddas, Sardinia. Triple pipe. Anthony Baines Bequest. x4064 [display label]",,,Collections Image 15-02-2013,,possibly,Fair condition.,Elin Bornemann [13/02/2013]
x4063,,Mijwiz,Reed Instruments,"Mijwiz, double clarinet of reed, with two parallel pipes of the same lengths, joined together with string and tar. The two small upper parts with the reeds are attached with string.",,Reed PlantTarString,Max L = 317 mm   Max W = 29 mm,,"Lebanon, Beirut",anon,,Display Case 2,Anthony Baines,04/03/2002,,,"Mijwiz, Beirut. Anthony Baines Bequest. x4063 [display label]",,,Collections Image 15-02-2013,,yes,Good condition.,Elin Bornemann [13/02/2013]
x4066,,Pungi,Reed Instruments,"Pungi, double clarinet with wind cap, made of two tubes of wood (chanter and drone) with wax between them, and coconut. Single tube of wood on the other side of the wind cap. Painted red and brown.",,Wood PlantCoconut PlantWax,Max L = 420 mm   Max W = 80 mm,,India,anon,,Display Case 2,Anthony Baines,04/03/2002,,ACB 61 [sticker],"Two Pungis, India. Used by snake charmers. 1 - Anthony Baines Bequest. x4066. 2 - Jeremy Montagu loan. (VIII 42) x4068 [display label]",,,Collections Image 15-02-2013,,no (no reeds),Good condition.,Elin Bornemann [13/02/2013]
x4065,,Diple,Reed Instruments,"Diple, single reed instrument, double pipe, one side with six fingerholes, the other with two, with bell, all of wood and incised with geometric patterns. The two reeds are inside the bell.",,Wood PlantReed Plant,Max L = 228 mm   Max W = 50 mm,,"Croatia, Zagreb",anon,,Display Case 2,Anthony Baines,04/03/2002,,20 [written inside bell],"Diple, Zagreb. Anthony Baines Bequest. x4065 [display label]",,,Collections Image 15-02-2013,,yes,Good condition.,Elin Bornemann [13/02/2013]
x4061,,Pipe,Reed Instruments,"Diple, single reed instrument, double pipe, one side with six fingerholes, the other with two, with bell, all of wood and incised with geometric patterns. The two reeds are inside the bell.",,Reed Plant,Max L = 205 mm   Max W = 10 mm,,"Greece, Crete",anon,,Display Case 2,Anthony Baines,04/03/2002,,50 [written on pipe]  ACB 50 [sticker],"Single-reed pipe, Crete. The simplest form of 'clarinet'. Anthony Baines Bequest. x4061 [display label]",,,Collections Image 15-02-2013,,yes,Good condition.,Elin Bornemann [13/02/2013]
x268,,ChanterBagpipe Part,Reed Instruments,"Chanter for a highland bagpipe, of wood painted black with aluminium soleplate.",,Wood PlantAluminium Metal,Max L = 360 mm   Max W = 70 mm,,"India, Kolkata",anon,,Display Case 2,Anthony Baines,04/03/2002,,56 [written on soleplate],"Highland bagpipe chanter, Calcutta. Anthony Baines Bequest. x268 [display label]",,,,,no,Good condition.,Elin Bornemann [13/02/2013]
x283,,ChanterBagpipe PartZampogna,Reed Instruments,"Chanter for a zampogna, an Italian bagpipe, of wood, with circles incised all along its length. ",,Wood Plant,Max L = 482 mm   Max W = 72 mm,,Italy,anon,,Display Case 2,Anthony Baines,04/03/2002,,ACB 3 [sticker],"Right-hand chanter from a zampogna, an Italian bagpipe which has two chanters and two or three drones. Anthony Baines Bequest. x283 [display label]",,,Collections Image 15-02-2013,,no,"Fair condition, bell chipped.",Elin Bornemann [13/02/2013]
296,,ChanterBagpipe Part,Reed Instruments,"Practice chanter for a highland bagpipe, of brown wood with brass ferrule and plastic soleplate.",,Wood PlantBrass MetalPlastic Synthetic,Max L = 435 mm   Max W = 42 mm,,"UK, Scotland",anon,20th century,Display Case 2,Edgar Hunt,,,,"Highland bagpipe, practice chanter, anon. Edgar Hunt Accession. 296 [display label]",,,Collections Image 15-02-2013,,no,Good condition.,Elin Bornemann [13/02/2013]
297,,ChanterBagpipe Part,Reed Instruments,"Practice chanter for a highland bagpipe, of black wood with aluminium ferrule and soleplate.",,Wood PlantAluminium,Max L = 483 mm   Max W = 50 mm,,"UK, Scotland",anon,20th century,Display Case 2,Edgar Hunt,,,,"Highland bagpipe, practice chanter, anon. Edgar Hunt Accession. 297 [display label]",,,Collections Image 15-02-2013,,no,Good condition.,Elin Bornemann [13/02/2013]
2038,,Oboe,Reed Instruments,"Tenor oboe of boxwood, with two brass keys and brass crook. ",,Boxwood PlantBrass Metal,Max L = 890 mm   Max Diam [bell] = 80 mm,,"Germany, Zell im Wiesental",Paul Hailperin,20th century,Display Case 2,Reichenberg Trust,,"given in memory of David Reichenberg, who owned it",star [upper joint]  P. HAILPERIN [lower joint],"Tenor Oboe in F, Paul Hallperin [sic], Zell, Modern, Based on the taille by J.C. Denner, Berlin Museum (1071), c. 1700, 2 keys. Ex David Reichenberg; presented by the David Reichenberg Trust in his memory. 2038 [display label]","The old database states that the oboe was made in Vienna in 1978, and the crook in Riedichen 4 June 1981. Paul Hailperin however is based in Zell im Wiesental, Germany. ",,Collections Image 15-02-2013,,potentially (needs reed],Good condition.,Elin Bornemann [13/02/2013]
x247,,OboeVox Humana,Reed Instruments,"Vox humana, a form of tenor oboe in F, of wood consisting of two joints only, with four brass keys and brass crook. ",,Wood PlantBrass Metal,Max L = 777 mm   Max Diam [bell] = 45 mm,lowest note F,"UK, England?",anon,prob. first quarter 19th century,Display Case 2,lent Matthew Alexander,lent,,,"Vox Humana, Anon, English, probably first quarter of the 19th century. Four keys: C, C#, Eb and G#. The vox humana was a peculiarly English form of the tenor oboe. The instrument was always made with the minimum of turned decoration. Lent by Matthew Alexander. x247 [display label]",,,Collections Image 15-02-2013,,potentially (needs reed],"Fair condition, bell chipped, metal tarnished.",Elin Bornemann [13/02/2013]
